Product Name,Price
Nike College Air Max SYSTM (Penn State),$110
Nike Tawa SE,$155
Converse x Kasina Weapon,$140
Nike Offcourt (Arizona),$28.97
NikeCourt Air Zoom Vapor 11 Attack,$190
NikeCourt Air Zoom Vapor 9.5 Tour,$117.97
North Carolina A&T,$28.97
Nike Offcourt (West Virginia),$28.97
Nike Pegasus 40 (Morehouse),$98.97
Nike Dunk Low By Kelcey,$150
Nike ZoomX Dragonfly XC,$160
Nike Precision 6,$80
Nike Air Force 1 Mid '07 LV8,$107.97
Jordan Jumpman Team 1,$116.97
Nike Zoom Metcon Turbo 2,$119.97
Nike React Vapor Ultrafly Elite 4,$60.97
AJKO 1,$127.97
Nike Air Force 1 Low Retro QS,$140
Nike Phantom GX Club,$48.97
Nike Infinity Ace Next Nature NRG,$120
Nike Air Max Goadome,$180
Nike ACG Torre Mid Waterproof,$150
Nike Waffle Debut,$75
Nike Air Max 1 '86 OG G NRG,$170
Nike Air Force 1 '07 Premium,$145
Nike Offcourt (Arkansas),$28.97
Nike Attack,$120
Nike Pegasus 40 (Alabama A&M),$98.97
Nike Blazer Mid Pro Club,$86.97
Nike Zoom LeBron 4,$240
Nike Air Pegasus '89,$92.97
Nike Huarache 9 Elite TF LAX SE,$105
LeBron 20,$179.97
Nike Offcourt (Ohio State),$28.97
"Nike Vapor Edge Pro 360 2 ""Ja'Marr Chase""",$125
Nike Burrow,$60
CONVERSE x DRKSHDW,$175
Nike Infinity Pro 2,$110
Nike Air Max Goaterra 2.0,$140
Jordan Series Mid,$58.97
Nike Tech Hera,$82.97
Nike Air Max 90 SE,$119.97
Jordan Max Aura 4,$100.97
Nike College Air Max SYSTM (Ohio State),$110
Nike Air Max 90,$98.97
Nike ZoomX Dragonfly,$160
Nike Air Max 1 Premium,$96.97
Nike Air Max 90 LTR,$89.97
Jordan 6 Rings,$170
Nike Blazer Mid '77 SE,$77.97
Nike Free Run 2018,$69.97
Nike Tiempo Legend 9 Academy MG,$75
Nike SB Zoom Nyjah 3,$110
Nike Air Force 1 Mid '07,$88.97
Nike Air Max Terrascape 90,$89.97
Nike Dunk Low By Italia,$150
Nike Air Force 1 High '07 LV8,$104.97
Nike Pegasus Trail 3 GORE-TEX,$129.97
Nike Alpha Huarache 8 Elite,$110.97
Nike Offcourt (Oregon),$28.97
Nike Tiempo Legend 10 Academy,$85
Nike Pegasus 40 (Arkansas),$98.97
Nike Air Flight '89 Low SP,$160
Nike Huarache 9 Elite Low LAX,$120
Nike ACG Moc,$54.97
"Nike ACG GORE-TEX ""Mountain Fly""",$220
Nike ACG Moc 3.5,$90
Nike SB Blazer Court Mid Premium,$56.97
Jordan Post,$30
Nike Tiempo Legend 9 Elite FG,$195.97
